DIST,VAR,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,WC13,WC14,WC15,WC16,WC17,WC18,district.y,state
Adilabad,RAIN,1911,0.06020752972,0,6.2170758745,0.0016504131,6.61520287682,198.15975084914,210.43359411276,307.90654055422,240.1162437878,15.95582292482,3.39670176372,0.0303628441,988.8931535307,972.57195222874,758.45637845478,224.44235328898,191.99681826938,202.71018073506,Adilabad,Andhra Pradesh
Adilabad,RAIN,1912,0,48.74236335604,0.26772890758,9.73696639678,19.83855779414,33.16975012026,429.05832839934,341.91101568196,201.87838494738,4.5527812532,25.06751247558,0,1114.22338933226,1010.57026040214,972.84772902868,535.55462711688,279.92815340936,78.40895770812,Adilabad,Andhra Pradesh
Adilabad,RAIN,1913,0,41.91587964022,0.49872180974,11.94198492644,13.02374287416,137.79773759228,470.87501896574,183.11762269008,114.46268370984,29.26072712736,0,10.78459362792,1013.67871296378,935.5137900853,768.45532536566,317.59264939254,223.29521735656,53.41511348122,Adilabad,Andhra Pradesh
Adilabad,RAIN,1914,0,2.38762098416,3.58198729118,45.7640120463,20.87207753804,267.0706599161,302.6022512531,250.79880966038,307.5373113628,16.82668804854,6.34107954048,4.27252332526,1228.05502096634,1144.83572024092,860.93837227628,358.21162421386,374.12638198002,84.14846651394,Adilabad,Andhra Pradesh
Adilabad,RAIN,1915,27.5177367812,13.7661415206,76.79232775754,10.00351464022,18.65662228586,200.55194858608,153.65423515858,298.52940394824,179.52401027454,70.739289265,28.83429007462,1.18260096434,1079.75212125682,902.99888723244,631.70764938136,207.23006074676,316.15867010646,149.51035712992,Adilabad,Andhra Pradesh
Adilabad,RAIN,1916,0,13.06559733558,0.14741399332,3.87677172672,17.20509775246,203.8988391327,295.21324894772,346.97287833086,229.77735844878,92.73223996384,45.34733488686,0.0737217239,1248.31050224274,1168.5945648239,871.96348572736,358.310511459,259.90751854192,180.28128656006,Adilabad,Andhra Pradesh
Adilabad,RAIN,1917,1.87760320114,95.75727083164,21.71475988876,33.64500172856,40.5683707751,260.56783968618,491.7405646213,172.36188702536,344.50759664928,147.54515768444,6.2191020831,0.1429738422,1616.64812801706,1416.72304566656,1008.61004829594,408.15288282346,356.2920254869,204.26255397856,Adilabad,Andhra Pradesh
Adilabad,RAIN,1918,13.6098223421,0.161809909,14.5734431108,2.9317197453,74.34437742576,186.793582961,180.59370531776,200.0665050646,74.51821822922,1.10388587814,5.38401414366,31.9320107383,786.01309486564,643.07589745072,455.17842861158,214.20982180894,153.40523707746,29.92960683414,Adilabad,Andhra Pradesh
Adilabad,RAIN,1919,47.29570824064,48.36113575334,47.42585199966,17.0882605343,29.3665474454,244.91719135426,246.37720020162,184.34008068062,102.65643416552,128.27274957992,26.47071335566,8.6606154327,1131.23248874364,906.56365598194,533.37371504776,235.23848383244,178.53886442114,176.55954066386,Adilabad,Andhra Pradesh
Adilabad,RAIN,1920,1.59065793934,0.27317830168,0.5847229989,11.7411318721,16.7671080047,101.84392957524,234.44411700126,148.0134651777,74.52719306736,2.3479188095,0,0,592.13342274778,561.17662363106,456.98477524632,146.0297161207,158.30819265912,24.1283759254,Adilabad,Andhra Pradesh
